customerID,tenure,Contract,InternetService,PaymentMethod,MonthlyCharges,churn_risk
7216-EWTRS,1,Month-to-month,Fiber optic,Electronic check,100.8,0.9474004
5419-JPRRN,1,Month-to-month,Fiber optic,Electronic check,101.45,0.9333474
9497-QCMMS,1,Month-to-month,Fiber optic,Electronic check,93.55,0.9314585
5178-LMXOP,1,Month-to-month,Fiber optic,Electronic check,95.1,0.9281185
9300-AGZNL,1,Month-to-month,Fiber optic,Electronic check,94.0,0.9275746
0107-YHINA,1,Month-to-month,Fiber optic,Electronic check,99.75,0.9200553
4910-GMJOT,1,Month-to-month,Fiber optic,Electronic check,94.6,0.9180918
8149-RSOUN,1,Month-to-month,Fiber optic,Electronic check,93.85,0.9180918
8775-LHDJH,1,Month-to-month,Fiber optic,Electronic check,90.6,0.91477793
0295-PPHDO,1,Month-to-month,Fiber optic,Electronic check,95.45,0.91372436
1069-XAIEM,1,Month-to-month,Fiber optic,Electronic check,85.05,0.9094022
6894-LFHLY,1,Month-to-month,Fiber optic,Electronic check,75.75,0.90382403
9248-OJYKK,1,Month-to-month,Fiber optic,Electronic check,76.45,0.90382403
3178-FESZO,1,Month-to-month,Fiber optic,Credit card (automatic),100.25,0.90266526
3988-RQIXO,1,Month-to-month,Fiber optic,Electronic check,91.3,0.9021531
2609-IAICY,1,Month-to-month,Fiber optic,Electronic check,77.15,0.9021383
6861-XWTWQ,7,Month-to-month,Fiber optic,Electronic check,99.25,0.8992267
6567-HOOPW,1,Month-to-month,Fiber optic,Electronic check,79.2,0.8991329
9282-IZGQK,1,Month-to-month,Fiber optic,Electronic check,85.0,0.8966056
3158-MOERK,2,Month-to-month,Fiber optic,Electronic check,96.0,0.89598656
5192-EBGOV,1,Month-to-month,Fiber optic,Electronic check,85.7,0.89509773
3068-OMWZA,1,Month-to-month,Fiber optic,Electronic check,88.8,0.8943477
7024-OHCCK,2,Month-to-month,Fiber optic,Electronic check,93.85,0.89290744
4826-XTSOH,1,Month-to-month,Fiber optic,Electronic check,86.05,0.8926641
7181-BQYBV,1,Month-to-month,Fiber optic,Electronic check,102.45,0.8909626
7493-TPUWZ,1,Month-to-month,Fiber optic,Electronic check,79.15,0.89059794
4102-OQUPX,1,Month-to-month,Fiber optic,Electronic check,74.4,0.88973314
0723-DRCLG,1,Month-to-month,Fiber optic,Electronic check,74.45,0.88973314
6618-RYATB,1,Month-to-month,Fiber optic,Mailed check,79.55,0.889106
4424-TKOPW,2,Month-to-month,Fiber optic,Electronic check,93.85,0.88769776
2720-WGKHP,2,Month-to-month,Fiber optic,Electronic check,94.0,0.88769776
6521-YYTYI,1,Month-to-month,Fiber optic,Electronic check,93.3,0.887421
4988-IQIGL,1,Month-to-month,Fiber optic,Electronic check,75.35,0.8872405
8884-ADFVN,7,Month-to-month,Fiber optic,Electronic check,101.95,0.88691753
9681-OXGVC,5,Month-to-month,Fiber optic,Electronic check,100.5,0.885806
0495-RVCBF,1,Month-to-month,Fiber optic,Electronic check,79.7,0.88560855
5494-HECPR,1,Month-to-month,Fiber optic,Electronic check,80.25,0.88506913
8058-INTPH,1,Month-to-month,Fiber optic,Electronic check,79.65,0.88506913
7851-WZEKY,2,Month-to-month,Fiber optic,Electronic check,95.15,0.88490224
8580-AECUZ,1,Month-to-month,Fiber optic,Electronic check,79.1,0.8841715
3551-HUAZH,1,Month-to-month,Fiber optic,Electronic check,74.4,0.88386214
5240-IJOQT,1,Month-to-month,Fiber optic,Electronic check,74.7,0.88386214
1833-VGRUM,1,Month-to-month,Fiber optic,Electronic check,74.2,0.88386214
4912-PIGUY,1,Month-to-month,Fiber optic,Electronic check,84.6,0.88385075
6023-YEBUP,3,Month-to-month,Fiber optic,Electronic check,100.95,0.8836521
7594-RQHXR,1,Month-to-month,Fiber optic,Electronic check,79.6,0.8813257
6513-EECDB,1,Month-to-month,Fiber optic,Electronic check,73.55,0.8811217
5919-TMRGD,1,Month-to-month,Fiber optic,Electronic check,79.35,0.88076895
2506-TNFCO,1,Month-to-month,Fiber optic,Electronic check,69.55,0.8802678
2012-NWRPA,11,Month-to-month,Fiber optic,Electronic check,99.55,0.8799785
0137-OCGAB,1,Month-to-month,Fiber optic,Mailed check,80.2,0.87996364
9305-CDSKC,8,Month-to-month,Fiber optic,Electronic check,99.65,0.87982565
4822-RVYBB,8,Month-to-month,Fiber optic,Electronic check,100.6,0.87574565
8603-IJWDN,1,Month-to-month,Fiber optic,Electronic check,86.6,0.8750089
8473-VUVJN,1,Month-to-month,Fiber optic,Electronic check,73.65,0.87485653
0021-IKXGC,1,Month-to-month,Fiber optic,Electronic check,72.1,0.87485653
4871-JTKJF,1,Month-to-month,Fiber optic,Electronic check,69.65,0.8739641
8375-DKEBR,1,Month-to-month,Fiber optic,Electronic check,69.6,0.8739641
2636-ALXXZ,1,Month-to-month,Fiber optic,Electronic check,69.6,0.8739641
7206-GZCDC,1,Month-to-month,Fiber optic,Electronic check,69.25,0.8739641
2545-EBUPK,2,Month-to-month,Fiber optic,Electronic check,84.05,0.873568
2725-KXXWT,1,Month-to-month,Fiber optic,Electronic check,90.75,0.873245
6230-BSUXY,1,Month-to-month,Fiber optic,Electronic check,85.0,0.8732121
1400-MMYXY,3,Month-to-month,Fiber optic,Electronic check,105.9,0.87223226
7274-RTAPZ,1,Month-to-month,Fiber optic,Electronic check,90.55,0.87196785
4927-WWOOZ,2,Month-to-month,Fiber optic,Electronic check,91.45,0.8718085
5834-ASPWA,1,Month-to-month,Fiber optic,Electronic check,75.45,0.8717552
1374-DMZUI,4,Month-to-month,Fiber optic,Electronic check,94.3,0.87168205
9057-SIHCH,3,Month-to-month,Fiber optic,Electronic check,96.6,0.87160647
8098-LLAZX,4,Month-to-month,Fiber optic,Electronic check,95.45,0.8713052
0897-FEGMU,11,Month-to-month,Fiber optic,Electronic check,99.5,0.8712466
2968-SSGAA,10,Month-to-month,Fiber optic,Electronic check,100.6,0.8712041
0679-IDSTG,1,Month-to-month,Fiber optic,Electronic check,69.25,0.8709097
1455-UGQVH,10,Month-to-month,Fiber optic,Electronic check,98.5,0.87088364
2254-DLXRI,1,Month-to-month,Fiber optic,Mailed check,79.15,0.8698753
4587-VVTOX,6,Month-to-month,Fiber optic,Electronic check,105.3,0.8697774
9124-LHCJQ,1,Month-to-month,Fiber optic,Mailed check,85.45,0.8689501
2514-GINMM,1,Month-to-month,Fiber optic,Electronic check,79.5,0.86832714
5960-WPXQM,1,Month-to-month,Fiber optic,Electronic check,79.05,0.86832714
1761-AEZZR,1,Month-to-month,Fiber optic,Electronic check,79.55,0.86832714
9300-RENDD,1,Month-to-month,Fiber optic,Electronic check,79.95,0.86832714
8740-CRYFY,1,Month-to-month,Fiber optic,Electronic check,78.95,0.86832714
6358-LYNGM,1,Month-to-month,Fiber optic,Electronic check,74.9,0.8679818
4415-IJZTP,1,Month-to-month,Fiber optic,Electronic check,74.5,0.8679818
4695-WJZUE,2,Month-to-month,Fiber optic,Electronic check,88.55,0.8675231
1875-QIVME,2,Month-to-month,Fiber optic,Electronic check,104.4,0.86746466
9787-XVQIU,1,Month-to-month,Fiber optic,Electronic check,75.3,0.8673666
3811-VBYBZ,7,Month-to-month,Fiber optic,Electronic check,99.8,0.86721826
5539-TMZLF,1,Month-to-month,Fiber optic,Electronic check,69.75,0.8668727
8062-YBDOE,1,Month-to-month,Fiber optic,Electronic check,69.65,0.8668727
0781-LKXBR,9,Month-to-month,Fiber optic,Electronic check,100.5,0.8665979
6496-SLWHQ,3,Month-to-month,Fiber optic,Electronic check,105.0,0.86597097
9546-CQJSU,2,Month-to-month,Fiber optic,Electronic check,91.4,0.8656839
5196-SGOAK,1,Month-to-month,Fiber optic,Electronic check,75.7,0.8640905
5567-WSELE,3,Month-to-month,Fiber optic,Electronic check,94.6,0.8630385
2868-MZAGQ,1,Month-to-month,Fiber optic,Electronic check,79.25,0.8627369
4078-SAYYN,11,Month-to-month,Fiber optic,Electronic check,100.75,0.86270064
2446-BEGGB,6,Month-to-month,Fiber optic,Electronic check,98.25,0.8622705
9885-CSMWE,1,Month-to-month,Fiber optic,Electronic check,78.45,0.8617353
8821-XNHVZ,1,Month-to-month,Fiber optic,Mailed check,80.05,0.8616146
1415-YFWLT,1,Month-to-month,Fiber optic,Electronic check,89.3,0.86060184
5167-ZFFMM,1,Month-to-month,Fiber optic,Credit card (automatic),90.85,0.86057377
1157-BQCUW,1,Month-to-month,Fiber optic,Electronic check,74.95,0.86017364
8816-VXNZD,1,Month-to-month,Fiber optic,Electronic check,75.1,0.86017364
1452-VOQCH,1,Month-to-month,Fiber optic,Electronic check,75.1,0.86017364
3049-SOLAY,3,Month-to-month,Fiber optic,Electronic check,95.2,0.8597261
